T [°C],p [bar],ρ_vätska [kg/m³],ρ_ånga [kg/m³],h_vätska [kJ/kg],h_ånga [kJ/kg],hfg [kJ/kg],s_vätska [kJ/kg·K],s_ånga [kJ/kg·K],μ_ånga [μPa·s]
10,0.824,1378.3,4.87,213.47,412.96,199.49,1.0485,1.7531,11.2
15,1.011,1365.2,5.91,219.92,416.72,196.8,1.0711,1.754,11.41
20,1.231,1351.9,7.11,226.42,420.46,194.04,1.0934,1.7553,11.62
25,1.486,1338.5,8.5,232.98,424.21,191.22,1.1155,1.7569,11.83
30,1.781,1324.8,10.1,239.61,427.94,188.33,1.1375,1.7587,12.04
35,2.12,1310.9,11.93,246.29,431.66,185.37,1.1593,1.7608,12.25
40,2.506,1296.7,14.01,253.04,435.36,182.31,1.1809,1.7631,12.46
45,2.946,1282.3,16.37,259.86,439.03,179.17,1.2024,1.7656,12.68
50,3.442,1267.5,19.05,266.75,442.68,175.93,1.2237,1.7682,12.89
55,4.0,1252.4,22.06,273.71,446.29,172.58,1.245,1.7709,13.12
60,4.625,1236.9,25.45,280.75,449.87,169.12,1.2661,1.7738,13.35
65,5.321,1221.0,29.25,287.86,453.39,165.53,1.2872,1.7767,13.58
70,6.093,1204.7,33.52,295.07,456.87,161.8,1.3081,1.7796,13.82
75,6.948,1187.9,38.29,302.36,460.28,157.92,1.329,1.7826,14.07
80,7.89,1170.5,43.65,309.74,463.61,153.87,1.3498,1.7855,14.34
